TensorBoard log directory: /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_130809/tensorboard
Launch with: tensorboard --logdir /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_130809/tensorboard
Number of classes: 657
Train batches: 13801
Val batches: 2431
Unexpected keys (fc_norm.bias, fc_norm.weight) found while loading pretrained weights. This may be expected if model is being adapted.

===== Epoch 1/500 (LR: 2.00e-07) =====
  Train Batch [5375/13801] | Loss: 19.4587 | Top1: 0.0045 | Top5: 0.0178
  Train Batch [5400/13801] | Loss: 19.4587 | Top1: 0.0046 | Top5: 0.0179
  Train Batch [5425/13801] | Loss: 19.4587 | Top1: 0.0046 | Top5: 0.0181
  Train Batch [5450/13801] | Loss: 19.4586 | Top1: 0.0047 | Top5: 0.0183
  Train Batch [5475/13801] | Loss: 19.4586 | Top1: 0.0047 | Top5: 0.0183
  Train Batch [5500/13801] | Loss: 19.4586 | Top1: 0.0046 | Top5: 0.0184
  Train Batch [5525/13801] | Loss: 19.4586 | Top1: 0.0047 | Top5: 0.0184
  Train Batch [5550/13801] | Loss: 19.4585 | Top1: 0.0046 | Top5: 0.0185
  Train Batch [5575/13801] | Loss: 19.4585 | Top1: 0.0046 | Top5: 0.0186
  Train Batch [5600/13801] | Loss: 19.4585 | Top1: 0.0046 | Top5: 0.0186
  Train Batch [5625/13801] | Loss: 19.4585 | Top1: 0.0046 | Top5: 0.0186
  Train Batch [5650/13801] | Loss: 19.4584 | Top1: 0.0046 | Top5: 0.0186
  Train Batch [5675/13801] | Loss: 19.4584 | Top1: 0.0046 | Top5: 0.0186
  Train Batch [5700/13801] | Loss: 19.4584 | Top1: 0.0046 | Top5: 0.0186
  Train Batch [5725/13801] | Loss: 19.4584 | Top1: 0.0047 | Top5: 0.0186
  Train Batch [5750/13801] | Loss: 19.4583 | Top1: 0.0047 | Top5: 0.0186
  Train Batch [5775/13801] | Loss: 19.4583 | Top1: 0.0048 | Top5: 0.0189
  Train Batch [5800/13801] | Loss: 19.4583 | Top1: 0.0048 | Top5: 0.0190
  Train Batch [5825/13801] | Loss: 19.4583 | Top1: 0.0048 | Top5: 0.0191
  Train Batch [5850/13801] | Loss: 19.4582 | Top1: 0.0048 | Top5: 0.0193
  Train Batch [5875/13801] | Loss: 19.4582 | Top1: 0.0048 | Top5: 0.0193
  Train Batch [5900/13801] | Loss: 19.4582 | Top1: 0.0048 | Top5: 0.0194
  Train Batch [5925/13801] | Loss: 19.4582 | Top1: 0.0048 | Top5: 0.0194
  Train Batch [5950/13801] | Loss: 19.4581 | Top1: 0.0049 | Top5: 0.0195
  Train Batch [5975/13801] | Loss: 19.4581 | Top1: 0.0049 | Top5: 0.0195
  Train Batch [6000/13801] | Loss: 19.4581 | Top1: 0.0050 | Top5: 0.0196
  Train Batch [6025/13801] | Loss: 19.4581 | Top1: 0.0049 | Top5: 0.0196
  Train Batch [6050/13801] | Loss: 19.4581 | Top1: 0.0049 | Top5: 0.0197
  Train Batch [6075/13801] | Loss: 19.4581 | Top1: 0.0049 | Top5: 0.0197
  Train Batch [6100/13801] | Loss: 19.4580 | Top1: 0.0050 | Top5: 0.0198
  Train Batch [6125/13801] | Loss: 19.4580 | Top1: 0.0050 | Top5: 0.0199
  Train Batch [6150/13801] | Loss: 19.4580 | Top1: 0.0050 | Top5: 0.0201
  Train Batch [6175/13801] | Loss: 19.4579 | Top1: 0.0050 | Top5: 0.0202
  Train Batch [6200/13801] | Loss: 19.4579 | Top1: 0.0051 | Top5: 0.0204
  Train Batch [6225/13801] | Loss: 19.4579 | Top1: 0.0051 | Top5: 0.0205
  Train Batch [6250/13801] | Loss: 19.4579 | Top1: 0.0052 | Top5: 0.0205
  Train Batch [6275/13801] | Loss: 19.4579 | Top1: 0.0051 | Top5: 0.0205
  Train Batch [6300/13801] | Loss: 19.4579 | Top1: 0.0052 | Top5: 0.0206
  Train Batch [6325/13801] | Loss: 19.4578 | Top1: 0.0052 | Top5: 0.0206
  Train Batch [6350/13801] | Loss: 19.4578 | Top1: 0.0052 | Top5: 0.0206
